Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.894657017004647e-07,1.1841985383398423e-06,3.9473286506108707e-07,1.9736642116185976e-06,3.1578627215367305e-06,4.342061288298282e-06,3.5525955865978176e-06,1.57893137497922e-06,5.920992634855793e-06,1.0263053894732366e-05,4.342061288298282e-06,1.263145097141205e-05,3.9078551424154284e-05,6.78940489535762e-05,2.6447100452742234e-05,0.00019973481849433483,0.0017068248124587626,0.0014818270920216037,0.0063950667868084565,0.012822896399597994,0.050833300767862966
Binary Search,7.894656732787553e-07,1.57893137497922e-06,1.9736642116185976e-06,2.3683970482579753e-06,1.57893137497922e-06,3.5525955865978176e-06,6.3157254714951705e-06,3.552595558176108e-06,3.15786274995844e-06,1.9736642116185976e-06,1.9736642116185976e-06,1.0263053894732366e-05,6.3157254714951705e-06,1.3420916644690806e-05,7.105191173195635e-06,1.3815649509751893e-05,1.0657786759793453e-05,6.31572549991688e-06,1.1447252433072208e-05,1.2236718106350963e-05,1.9736642144607686e-05
BO count Sequential Search
BO count Binary Search
