Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,1.1841985285149083e-06,1.1841985285149107e-06,1.1841985285149107e-06,1.9736642141916262e-06,1.9736642141914094e-06,1.460511518501734e-05,4.342061271220797e-06,4.342061271221664e-06,7.894656856766505e-06,2.368397057030472e-06,2.368397057030472e-06,4.578900976924191e-05,2.447343625597287e-05,7.42097744536041e-05,7.302557592508974e-05,0.0007531502641354715,0.0007717027077489558,0.0018493233686973642,4.342061271422892e-06,0.004396929136375682,0.031252578098881045
Binary Search,1.5789313713532142e-06,1.1841985285149107e-06,7.894656856766071e-07,1.5789313713532142e-06,3.1578627427064285e-06,5.526259799736033e-06,2.3683970570296045e-06,3.9473284283832524e-06,3.157862742707296e-06,3.157862742707296e-06,2.368397057028737e-06,7.49992401392896e-06,9.868321070957697e-06,5.526259799729094e-06,1.3026183813658054e-05,1.539458087068679e-05,9.868321070971575e-06,1.0657786756684828e-05,1.8947176456229897e-05,1.2631450970523872e-05,1.3815649500870109e-05
BO count Sequential Search
BO count Binary Search
