Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.8946568748961e-07,1.57893137497922e-06,2.3683970553634026e-06,1.184198531234415e-06,2.3683970553634026e-06,3.1578627428530126e-06,5.131526961577038e-06,8.684122541069428e-06,8.28938970443005e-06,1.3815649495541038e-05,1.3420916651796233e-05,1.776297792588366e-05,8.920962248026854e-05,4.2631147024962956e-05,0.0003619700168826512,0.00043223246290580164,0.0016294571752339948,0.002767866693979215,0.004683505180274494,0.010358973994605947,0.023667391790901604
Binary Search,2.36839706246883e-06,3.5525955865978176e-06,5.526259798216415e-06,2.7631298991082076e-06,5.131526961577038e-06,3.5525955865978176e-06,7.105191173195635e-06,8.28938970443005e-06,5.92099264196122e-06,5.13152695447161e-06,5.13152695447161e-06,4.736794110726805e-06,9.473588228559038e-06,1.184198528392244e-05,8.289389697324623e-06,9.473588228559038e-06,1.0263053916048648e-05,1.184198528392244e-05,1.421038234639127e-05,1.7368245089244283e-05,1.3815649502646465e-05
BO count Sequential Search
BO count Binary Search
