Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,3.9473283663937764e-07,1.1841985383398423e-06,1.1841985383398423e-06,2.763129884897353e-06,7.894656732787553e-07,1.1841985383398423e-06,3.315755878929849e-05,6.3157254714951705e-06,5.526259798216415e-06,3.947328423237195e-06,1.6973512231288623e-05,2.842076466436083e-05,3.5920688702617554e-05,7.855183574179136e-05,1.105251959643283e-05,0.0005289420094243269,0.00024947115667828257,0.0015560368664750968,0.001300249984325319,0.021131233275667682,0.04752583427773516
Binary Search,1.184198509918133e-06,2.3683970766796847e-06,2.763129884897353e-06,2.763129884897353e-06,2.3683970482579753e-06,3.1578627215367305e-06,4.342061288298282e-06,3.947328451658905e-06,3.947328451658905e-06,4.342061288298282e-06,5.131526961577038e-06,5.526259798216415e-06,6.31572549991688e-06,7.499924009835013e-06,8.289389711535478e-06,1.0263053923154075e-05,1.105251959643283e-05,2.052610784630815e-05,1.1447252461493918e-05,1.9736642144607686e-05,1.3420916673112515e-05
BO count Sequential Search
BO count Binary Search
