Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,1.1841985276817013e-06,2.3683970553634026e-06,1.1841985276817013e-06,1.1841985276817013e-06,3.947328430342623e-06,5.131526958024324e-06,5.92099264196122e-06,7.4999240133877265e-06,3.552595583045104e-06,7.8946568748961e-07,2.328923772765279e-05,2.328923772765279e-05,7.73676371963461e-05,9.947267639631718e-05,0.00022539245326314017,0.0012311717368120867,0.0013799860185628177,0.003418781151822259,0.0034286494728945627,0.008425572530384784,0.007883604337166616
Binary Search,1.9736642151713113e-06,3.5525955865978176e-06,3.1578627428530126e-06,4.736794114279519e-06,5.526259798216415e-06,2.3683970553634026e-06,3.947328430342623e-06,5.526259798216415e-06,3.947328426789909e-06,6.71045832945083e-06,7.1051911696429215e-06,5.526259801769129e-06,5.526259801769129e-06,1.0657786756240739e-05,1.4605115186583362e-05,1.6184046558009868e-05,1.8947176457118076e-05,1.1052519599985544e-05,1.1447252440177635e-05,1.3026183811604142e-05,1.263145097141205e-05
BO count Sequential Search
BO count Binary Search
