Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,1.1841985241289876e-06,1.9736642258294523e-06,2.36839706246883e-06,4.342061274087428e-06,3.94732843744805e-06,4.342061274087428e-06,1.0657786745582598e-05,4.342061274087428e-06,5.131526961577038e-06,1.2236718120561818e-05,7.499924009835013e-06,2.4868169106184723e-05,8.289389700166794e-05,0.00016776145820074362,0.0002660499360729318,0.0004768372741494886,0.0012832764720798195,0.0010270948570649807,0.009877005193501986,0.0051291585598391976,0.04316048376878712
Binary Search,1.57893137497922e-06,3.5525955865978176e-06,1.57893137497922e-06,3.94732843744805e-06,3.15786274995844e-06,5.52625981242727e-06,7.105191173195635e-06,1.1841985241289876e-06,7.8946568748961e-07,7.105191173195635e-06,5.131526961577038e-06,1.9736642116185976e-06,3.94732843744805e-06,7.499924009835013e-06,7.89465684647439e-06,7.499924009835013e-06,8.289389697324623e-06,1.0657786745582598e-05,1.2236718120561818e-05,1.4605115183030648e-05,1.6184046558009868e-05
BO count Sequential Search
BO count Binary Search
