Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,1.5789313607683653e-06,1.5789313607683653e-06,3.1578627357475852e-06,1.9736642116185976e-06,2.36839706246883e-06,2.7631298991082076e-06,4.342061259876573e-06,8.289389697324623e-06,7.499924009835013e-06,3.947328423237195e-06,1.4605115183030648e-05,1.1447252447283063e-05,2.72365661544427e-05,0.00014960374743111515,0.0001515774116569446,0.0008845963008070612,0.0003011811590738489,0.003516674896843597,0.00797162976111565,0.020380056675733726,0.03102442251574189
Binary Search,1.9736642258294523e-06,4.342061259876573e-06,5.526259798216415e-06,4.342061274087428e-06,3.5525955865978176e-06,3.5525955865978176e-06,6.710458322345403e-06,4.342061274087428e-06,4.342061259876573e-06,3.94732843744805e-06,5.131526961577038e-06,5.920992634855793e-06,6.710458322345403e-06,7.499924009835013e-06,8.684122533964e-06,1.7762977932989088e-05,1.105251959643283e-05,1.0657786759793453e-05,2.052610781788644e-05,1.3026183822262283e-05,1.4605115183030648e-05
BO count Sequential Search
BO count Binary Search
