Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,1.1841985276817013e-06,1.1841985294580581e-06,3.1578627428530126e-06,2.7631299008845644e-06,2.3683970571397595e-06,6.315725485706025e-06,6.710458327674473e-06,8.684122542845785e-06,9.07885538659059e-06,5.92099264196122e-06,5.131526958024324e-06,2.7631298998187503e-05,0.00012434084549362012,0.00012868290676415484,4.263114702673931e-05,0.00020368214690336117,0.0004002591026388558,0.002144978267983433,0.007392161947834097,0.010469104457758505,0.04292995978856595
Binary Search,2.3683970571397595e-06,3.1578627428530126e-06,5.131526956247967e-06,2.7631298991082076e-06,6.315725483929668e-06,5.920992643737577e-06,6.315725483929668e-06,4.342061272311071e-06,4.342061272311071e-06,4.342061270534714e-06,4.736794114279519e-06,8.684122542845785e-06,1.42103823410622e-05,8.28938969910098e-06,1.4210382342838557e-05,9.078855384814233e-06,1.0263053914272291e-05,1.7762977927660017e-05,1.0657786758017096e-05,1.3026183815156855e-05,1.3026183811604142e-05
BO count Sequential Search
BO count Binary Search
