Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,3.9473283663937764e-07,1.9736642116185976e-06,7.894657017004647e-07,3.5525955865978176e-06,1.9736642116185976e-06,3.947328423237195e-06,2.7631299133190623e-06,1.184198509918133e-06,1.4210382317969561e-05,5.526259798216415e-06,2.0920840682947528e-05,1.9736642144607686e-05,3.2368093116019736e-05,0.00016855092391665494,0.00017170878663819167,0.0009185433252980602,0.0010353842467623053,0.003349702904330343,0.009377273414457932,0.010557524614569047,0.03731527983202909
Binary Search,1.57893137497922e-06,3.5525955865978176e-06,3.15786274995844e-06,4.342061259876573e-06,4.342061288298282e-06,5.920992634855793e-06,7.499924009835013e-06,5.920992634855793e-06,8.289389711535478e-06,4.342061259876573e-06,9.47358822145361e-06,5.131526961577038e-06,6.3157254714951705e-06,7.499924009835013e-06,8.289389711535478e-06,8.289389683113768e-06,1.5394580884731113e-05,1.8552443606267843e-05,1.1841985269711586e-05,1.263145097141205e-05,2.407870340448426e-05
BO count Sequential Search
BO count Binary Search
