Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.894657017004647e-07,1.57893137497922e-06,2.3683970482579753e-06,1.9736642116185976e-06,1.9736642116185976e-06,3.5525955865978176e-06,9.47358822145361e-06,1.1447252461493918e-05,1.57893137497922e-06,5.131526961577038e-06,1.578931372137049e-05,3.039442890440114e-05,6.315725485706025e-05,4.342061288298282e-06,0.00028262871546758106,0.0008163075189884239,0.0001381564949838321,0.00030039169340057015,0.0005080211687413794,0.008094391675228962,0.010564235072905603
Binary Search,1.57893137497922e-06,1.57893137497922e-06,1.9736642116185976e-06,5.526259798216415e-06,5.131526961577038e-06,2.3683970766796847e-06,6.31572549991688e-06,3.552595558176108e-06,4.342061288298282e-06,2.3683970482579753e-06,4.73679412493766e-06,4.7367940965159505e-06,1.105251959643283e-05,7.105191173195635e-06,7.89465684647439e-06,1.3815649481330183e-05,1.421038234639127e-05,9.868321058092988e-06,8.289389683113768e-06,1.1841985269711586e-05,1.3420916673112515e-05
BO count Sequential Search
BO count Binary Search
