Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.894656732787553e-07,1.57893137497922e-06,2.7631299133190623e-06,2.7631299133190623e-06,3.9473283663937764e-07,1.973664240040307e-06,5.131526961577038e-06,1.0657786759793453e-05,7.105191173195635e-06,1.3026183808051428e-05,1.5394580884731113e-05,3.947328423237195e-06,3.671015437589631e-05,2.684183331780332e-05,0.00023447130863019083,0.0012406453250264349,3.828908575087553e-05,0.0033493081714937034,0.005637969194282277,0.026555257269109234,0.009798058624937767
Binary Search,1.184198509918133e-06,1.9736642116185976e-06,4.342061259876573e-06,5.526259798216415e-06,2.7631299133190623e-06,3.15786274995844e-06,6.31572549991688e-06,7.8946568748961e-06,8.289389683113768e-06,4.342061288298282e-06,9.078855384814233e-06,9.078855384814233e-06,1.1841985298133295e-05,7.105191144773926e-06,8.289389683113768e-06,1.6973512259710333e-05,9.868321086514698e-06,1.1841985269711586e-05,2.8026031856143163e-05,1.3026183808051428e-05,1.421038234639127e-05
BO count Sequential Search
BO count Binary Search
