Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,3.9473285085023235e-07,1.1841985241289876e-06,1.9736642116185976e-06,4.342061274087428e-06,2.36839706246883e-06,3.1578627357475852e-06,1.9736642258294523e-06,5.52625981242727e-06,2.7631298991082076e-06,2.0920840668736673e-05,8.684122548174855e-06,4.144694850083397e-05,2.9210230366061296e-05,1.57893137497922e-06,2.0526107832097296e-05,3.552595585176732e-05,0.0013069604426334536,0.0030252325075110775,0.006704142602771412,0.0009442009600775236,0.03321676872484147
Binary Search,7.8946568748961e-07,1.9736642116185976e-06,2.3683970482579753e-06,8.289389697324623e-06,5.131526947366183e-06,3.5525955865978176e-06,4.342061274087428e-06,1.3026183822262283e-05,1.57893137497922e-06,4.736794110726805e-06,5.920992634855793e-06,7.105191173195635e-06,5.131526961577038e-06,7.105191173195635e-06,7.89465684647439e-06,9.473588235664465e-06,7.894656860685245e-06,9.078855384814233e-06,1.342091665890166e-05,1.263145097141205e-05,1.0657786745582598e-05
BO count Sequential Search
BO count Binary Search
