Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.8946568748961e-07,7.8946568748961e-07,1.57893137497922e-06,1.5789313607683653e-06,3.9473285085023235e-07,3.947328423237195e-06,3.1578627357475852e-06,1.57893137497922e-06,3.9473285085023235e-07,1.1447252447283063e-05,8.289389697324623e-06,1.8552443620478698e-05,7.894656860685245e-06,3.473649016427771e-05,5.24994680972668e-05,0.00037539093354155284,0.0013819596827886471,8.960435532401334e-05,0.000827754771435707,0.01382630728609513,0.02064136981769593
Binary Search,1.1841985241289876e-06,1.9736642258294523e-06,2.7631298991082076e-06,2.7631298991082076e-06,2.7631298991082076e-06,7.499924009835013e-06,6.315725485706025e-06,3.1578627357475852e-06,3.5525955865978176e-06,5.131526961577038e-06,4.736794110726805e-06,5.920992634855793e-06,6.7104583365562576e-06,7.499924009835013e-06,8.684122548174855e-06,1.8947176457118076e-05,1.105251959643283e-05,1.9736642144607686e-05,1.184198528392244e-05,1.342091665890166e-05,1.3420916644690806e-05
BO count Sequential Search
BO count Binary Search
