Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.894657017004647e-07,1.9736642116185976e-06,3.15786274995844e-06,1.973664240040307e-06,7.894656732787553e-07,1.1841985383398423e-06,1.1841985383398423e-06,7.105191173195635e-06,6.31572549991688e-06,3.5525955865978176e-06,4.342061259876573e-06,1.6973512259710333e-05,6.157832348208103e-05,0.0001689456567248726,0.0003149968085836008,0.0008332810312197125,0.0023648444614536857,0.0014711693052618102,0.004311272109504216,0.0036706207055487994,0.03382031524154172
Binary Search,1.57893137497922e-06,3.15786274995844e-06,1.57893137497922e-06,4.342061288298282e-06,5.131526961577038e-06,3.15786274995844e-06,2.763129884897353e-06,5.131526933155328e-06,3.947328423237195e-06,1.9736642116185976e-06,8.289389711535478e-06,4.73679412493766e-06,6.3157254714951705e-06,6.7104583365562576e-06,1.4605115183030648e-05,7.105191173195635e-06,1.6973512231288623e-05,1.5394580856309403e-05,1.1841985269711586e-05,1.2236718106350963e-05,2.4868169106184723e-05
BO count Sequential Search
BO count Binary Search
