Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,1.1841985383398423e-06,2.3683970482579753e-06,1.1841985383398423e-06,1.1841985383398423e-06,2.763129884897353e-06,1.2236718134772673e-05,9.868321058092988e-06,1.184198509918133e-06,9.078855384814233e-06,3.5525955865978176e-06,6.31572549991688e-06,9.868321058092988e-06,1.776297790456738e-05,9.552534797307999e-05,0.000215918865023923,0.00033749658061310583,0.0012426189892664752,9.157801952142108e-05,0.012915658617686177,0.0094593778457579,0.027449721890974388
Binary Search,1.57893137497922e-06,3.1578627215367305e-06,2.7631299133190623e-06,2.3683970482579753e-06,3.1578627215367305e-06,3.5525955865978176e-06,7.499924009835013e-06,5.131526961577038e-06,2.3683970766796847e-06,1.57893137497922e-06,4.342061259876573e-06,3.947328423237195e-06,3.947328423237195e-06,6.710458308134548e-06,8.289389683113768e-06,7.105191173195635e-06,9.078855384814233e-06,1.0657786759793453e-05,1.1447252433072208e-05,7.499924009835013e-06,2.210503922128737e-05
BO count Sequential Search
BO count Binary Search
