Input size,1,3,5,7,10,15,20,25,30,40,50,100,250,500,1000,2500,5000,10000,25000,50000,100000
Sequential Search,7.894656803841826e-07,3.94732843744805e-07,1.57893137497922e-06,7.894656803841826e-07,1.9736642116185976e-06,2.7631298991082076e-06,6.710458322345403e-06,2.3683970553634026e-06,3.947328430342623e-06,5.13152695447161e-06,1.026305390894322e-05,1.855244361337327e-05,0.00013460389941144513,0.00015394580870520258,0.00017565611506142886,0.0004780214726736176,0.0018441918417408942,0.0037420673501031843,0.006094280360578352,0.0021153733047682977,0.020505581719760357
Binary Search,1.184198531234415e-06,1.973664218724025e-06,2.36839706246883e-06,2.7631298991082076e-06,2.3683970553634026e-06,3.5525955865978176e-06,3.947328430342623e-06,3.5525955865978176e-06,4.342061274087428e-06,5.526259805321843e-06,4.736794110726805e-06,5.9209926490666476e-06,1.263145097141205e-05,7.894656853579818e-06,1.184198528392244e-05,9.078855384814233e-06,1.0263053916048648e-05,1.105251959643283e-05,1.184198528392244e-05,1.1447252440177635e-05,1.3026183822262283e-05
BO count Sequential Search
BO count Binary Search
